,Crime,Date,Latitude,Longitude
182,CRIMINAL TRESPASS,2020-04-03T16:31:00.000,41.779486176,-87.663496166
183,BATTERY,2020-04-03T16:30:00.000,41.75033427,-87.665045312
184,THEFT,2020-04-03T16:30:00.000,41.660998006,-87.64547964
185,BATTERY,2020-04-03T16:30:00.000,41.764245206999995,-87.683232026
186,OTHER OFFENSE,2020-04-03T16:30:00.000,,
187,BURGLARY,2020-04-03T16:30:00.000,41.954058258,-87.685365323
188,THEFT,2020-04-03T16:25:00.000,41.969139894,-87.685271336
189,BATTERY,2020-04-03T16:20:00.000,41.793145241,-87.652418613
190,BATTERY,2020-04-03T16:17:00.000,41.901534585,-87.71895652200001
191,CRIMINAL DAMAGE,2020-04-03T16:15:00.000,41.856131934000004,-87.71759627600001
192,CRIMINAL TRESPASS,2020-04-03T16:15:00.000,41.782315073,-87.59876762799999
193,ASSAULT,2020-04-03T16:09:00.000,41.76015578,-87.556752911
194,BATTERY,2020-04-03T16:08:00.000,41.773299651,-87.589742201
195,OTHER OFFENSE,2020-04-03T16:02:00.000,41.909857246,-87.746114281
196,DECEPTIVE PRACTICE,2020-04-03T16:00:00.000,41.974187006,-87.656355545
197,THEFT,2020-04-03T16:00:00.000,41.802415236,-87.592519489
198,OFFENSE INVOLVING CHILDREN,2020-04-03T16:00:00.000,41.898347216,-87.64197976
199,OTHER OFFENSE,2020-04-03T16:00:00.000,41.924913005,-87.75986647799999
200,MOTOR VEHICLE THEFT,2020-04-03T16:00:00.000,41.868219921,-87.664046556
201,BURGLARY,2020-04-03T16:00:00.000,41.911136802,-87.68358426100001
202,THEFT,2020-04-03T15:53:00.000,41.907272203000005,-87.729191411
203,ROBBERY,2020-04-03T15:50:00.000,41.708235221,-87.617450564
204,BURGLARY,2020-04-03T15:49:00.000,41.926663321999996,-87.76362478899999
205,CRIMINAL DAMAGE,2020-04-03T15:45:00.000,41.777269655,-87.69497905600001
206,CRIMINAL DAMAGE,2020-04-03T15:32:00.000,41.745215134,-87.601378315
207,THEFT,2020-04-03T15:30:00.000,41.967774516,-87.667267274
